id_imagen,id_propiedad,nombre_archivo,formato,resolucion_megapixeles,resolucion_pixeles,tamano_kb,zona,anillo_vial,tipo_propiedad,label_ambiente,label_estado_conservacion,label_estado_numerico,camara,condicion_iluminacion,angulo_toma,fecha_captura,hora_captura,nitidez_score,brillo_score,contraste_score,tiene_marca_agua,tiene_personas_visibles,grietas_visibles,humedad_visible,pintura_deteriorada,instalaciones_expuestas,detalle_ambiente,split,peso_clase_ambiente,apto_entrenamiento
IMG-000001,SC-02810,SC-02810_Fachada_exterior_000001.heic,HEIC,50.1,1920x1080,2486,Av. Paurito,5,Casa,Fachada exterior,Bueno,1,Smartphone gama alta,Artificial fría,Panorámica,2022-06-01,09:48,73.1,90.8,65.3,0,0,0,0,0,0,color:Azul,train,0.0008,1
IMG-000002,SC-00340,SC-00340_Baño_000002.png,PNG,48.3,1920x1080,13662,Av. Banzer (norte),4,Casa,Baño,Malo,3,Smartphone gama media,Natural moderada,Frontal,2022-02-18,11:48,70.5,59.7,48.6,1,0,1,1,1,1,,train,0.001,0
IMG-000003,SC-02056,SC-02056_Fachada_exterior_000003.heic,HEIC,109.5,2560x1440,10067,Las Palmas,2,Penthouse,Fachada exterior,Malo,3,Smartphone gama alta,Natural escasa,Picado,2023-12-02,13:39,90.3,93.4,47.1,0,1,0,0,1,1,color:Azul,val,0.0008,1
IMG-000004,SC-02999,SC-02999_Dormitorio_000004.jpeg,JPEG,9.9,1920x1080,7721,Equipetrol Sur,3,Casa,Dormitorio,Bueno,1,Smartphone gama alta,Natural abundante,Contrapicado,2022-11-20,12:06,84.8,85.3,43.1,0,0,0,0,1,0,,train,0.0006,1
IMG-000005,SC-02017,SC-02017_Sala_000005.jpeg,JPEG,109.6,4000x3000,6099,Beni (zona norte),3,Duplex,Sala,Regular,2,Drone,Natural escasa,Picado,2024-02-21,17:20,76.9,84.5,31.8,0,0,0,1,0,0,estilo:Clásico,train,0.0007,1
IMG-000006,SC-01230,SC-01230_Dormitorio_000006.jpeg,JPEG,65.1,2560x1440,5837,Villa 1ro de Mayo,4,Terreno,Dormitorio,Regular,2,Smartphone gama media,Artificial fría,Contrapicado,2023-11-11,07:18,52.2,70.2,46.5,1,1,0,1,0,0,,train,0.0006,0
IMG-000007,SC-02499,SC-02499_Cocina_000007.heic,HEIC,49.9,3840x2160,4017,Warnes,6,Casa,Cocina,Excelente,0,Smartphone gama media,Natural moderada,Panorámica,2022-02-22,12:13,67.1,71.1,87.1,0,0,0,0,0,0,,train,0.0008,1
IMG-000008,SC-01494,SC-01494_Baño_000008.heic,HEIC,9.3,1920x1080,7084,Equipetrol Norte,3,Duplex,Baño,Bueno,1,Smartphone básico,Artificial cálida,Panorámica,2022-02-07,13:46,55.1,82.2,27.7,0,0,0,0,0,0,,train,0.001,1
IMG-000009,SC-00298,SC-00298_Fachada_exterior_000009.jpeg,JPEG,12.7,4000x3000,6133,El Trompillo,2,Terreno,Fachada exterior,Excelente,0,Smartphone gama media,Natural abundante,Detalle,2022-12-24,13:41,94.7,90.3,89.9,1,0,0,0,0,0,color:Beige,train,0.0008,0
IMG-000010,SC-00664,SC-00664_Cocina_000010.jpeg,JPEG,9.0,1920x1080,4710,Urbarí,2,Terreno,Cocina,Bueno,1,Smartphone gama media,Natural escasa,Panorámica,2024-06-07,10:08,76.0,80.8,68.9,0,0,0,0,0,0,,val,0.0008,1
IMG-000011,SC-00302,SC-00302_Sala_000011.heic,HEIC,8.1,1920x1080,5227,Av. Cristo Redentor,3,Casa,Sala,Bueno,1,Smartphone gama media,Natural moderada,Panorámica,2023-10-19,16:21,88.6,78.5,70.9,0,0,0,0,0,0,estilo:Minimalista,train,0.0007,1
IMG-000012,SC-00664,SC-00664_Comedor_000012.jpeg,JPEG,50.6,1280x720,11323,Norte (Radial 26),4,Local Comercial,Comedor,Regular,2,Smartphone gama media,Natural abundante,Angular,2023-05-25,12:02,91.4,68.0,44.4,0,0,1,1,1,0,,train,0.0017,1
IMG-000013,SC-02857,SC-02857_Sala_000013.jpeg,JPEG,50.3,3840x2160,3235,Av. Banzer (norte),4,Terreno,Sala,Bueno,1,Smartphone gama alta,Natural moderada,Contrapicado,2024-05-22,10:41,81.4,59.3,70.5,0,0,0,0,1,0,estilo:Moderno,train,0.0007,1
IMG-000014,SC-01523,SC-01523_Fachada_exterior_000014.jpeg,JPEG,109.9,1920x1080,2972,Barrio Sirari,3,Casa,Fachada exterior,Bueno,1,Cámara mirrorless,Mixta,Detalle,2022-08-26,09:32,75.5,75.8,58.0,1,1,0,0,0,0,color:Beige,train,0.0008,0
IMG-000015,SC-02120,SC-02120_Garaje_000015.jpeg,JPEG,108.7,4000x3000,4000,Equipetrol Sur,3,Casa,Garaje,Excelente,0,Smartphone gama media,Natural abundante,Picado,2023-12-24,14:07,92.5,66.3,57.0,1,0,0,0,0,0,,train,0.0017,0
IMG-000016,SC-01732,SC-01732_Piscina_Área_social_000016.png,PNG,48.3,1920x1080,4558,Casco Viejo,1,Departamento,Piscina/Área social,Malo,3,Smartphone gama alta,Natural abundante,Angular,2022-03-30,11:19,75.9,85.3,58.9,0,0,0,0,0,1,area_social:si,test,0.0033,1
IMG-000017,SC-02756,SC-02756_Baño_000017.jpeg,JPEG,12.3,1920x1080,5447,Equipetrol Sur,3,Terreno,Baño,Bueno,1,Smartphone gama media,Natural escasa,Angular,2023-11-15,15:44,64.6,82.2,51.5,0,0,0,0,0,0,,val,0.001,1
IMG-000018,SC-02323,SC-02323_Baño_000018.jpeg,JPEG,17.9,2560x1440,2657,Sur (Doble Vía La Guardia),4,Terreno,Baño,Malo,3,Smartphone gama media,Mixta,Picado,2023-06-10,19:22,95.2,79.2,38.5,0,0,0,0,1,0,,train,0.001,1
IMG-000019,SC-02381,SC-02381_Sala_000019.heic,HEIC,108.9,1920x1080,5109,Los Pozos,3,Casa,Sala,Regular,2,Smartphone gama media,Artificial cálida,Frontal,2024-01-21,19:56,82.8,77.3,28.7,0,1,1,0,0,0,estilo:Moderno,train,0.0007,1
IMG-000020,SC-02467,SC-02467_Comedor_000020.heic,HEIC,108.6,1920x1080,3408,Los Pozos,3,Casa,Comedor,Regular,2,Smartphone gama alta,Natural abundante,Detalle,2023-06-08,08:44,72.7,83.9,65.1,0,0,1,0,1,0,,train,0.0017,1
IMG-000021,SC-02398,SC-02398_Dormitorio_000021.webp,WEBP,65.6,1280x720,3247,Plan 3000,4,Oficina,Dormitorio,Regular,2,Smartphone gama alta,Artificial fría,Frontal,2024-06-05,19:26,76.6,81.4,30.5,0,0,0,0,0,0,,train,0.0006,1
IMG-000022,SC-01614,SC-01614_Baño_000022.png,PNG,16.5,1280x720,4136,Beni (zona norte),3,Terreno,Baño,Malo,3,Smartphone gama alta,Natural escasa,Contrapicado,2023-01-31,07:55,57.0,36.9,41.4,0,0,0,0,0,0,,test,0.001,1
IMG-000023,SC-00224,SC-00224_Garaje_000023.jpeg,JPEG,13.6,2560x1440,4931,Norte (Radial 26),4,Casa,Garaje,Bueno,1,Cámara mirrorless,Mixta,Contrapicado,2023-01-20,16:45,92.5,92.1,51.4,1,0,0,0,0,0,,train,0.0017,0
IMG-000024,SC-02827,SC-02827_Sala_000024.webp,WEBP,65.3,1920x1080,10644,Av. Cristo Redentor,3,Casa,Sala,Excelente,0,Smartphone gama alta,Artificial cálida,Picado,2022-09-01,07:27,90.5,75.6,78.2,0,0,0,0,0,0,estilo:Minimalista,train,0.0007,1
